Well,Cq
A01,26.51141854
A02,39.48743553
A03,26.12753145
A04,NaN
A05,26.09436095
A06,37.10228811
A07,26.23491644
A08,36.61504811
A09,25.36359611
A10,36.16586115
A11,26.53311635
A12,39.64998057
A13,26.29260137
A14,40.20854043
A15,27.05795393
A16,38.19850462
A17,25.87627076
A18,NaN
A19,24.40101109
A20,35.69549793
A21,NaN
A22,NaN
A23,NaN
A24,NaN
B01,26.67710457
B02,38.04235732
B03,26.11562067
B04,40.47368885
B05,26.16667004
B06,NaN
B07,26.23907435
B08,NaN
B09,25.32165648
B10,39.11493684
B11,26.54890729
B12,NaN
B13,26.42440811
B14,NaN
B15,26.9041748
B16,NaN
B17,25.98051926
B18,NaN
B19,24.55988471
B20,NaN
B21,NaN
B22,NaN
B23,NaN
B24,NaN
C01,26.41408303
C02,35.94017914
C03,26.05018727
C04,36.69400652
C05,25.94452114
C06,37.32590647
C07,25.98397149
C08,35.80277924
C09,25.22893806
C10,37.15232327
C11,26.32808523
C12,39.47921015
C13,26.20121596
C14,NaN
C15,27.00897007
C16,38.02816746
C17,25.28997973
C18,NaN
C19,24.289822
C20,NaN
C21,NaN
C22,NaN
C23,NaN
C24,NaN
D01,25.89787726
D02,33.40123565
D03,23.57964665
D04,32.18732255
D05,23.25366814
D06,31.79683289
D07,23.6488341
D08,31.65454162
D09,24.32505084
D10,31.81181089
D11,24.46377588
D12,31.02622085
D13,24.19796472
D14,32.54448945
D15,23.52633666
D16,32.90071173
D17,23.96631315
D18,34.68355486
D19,24.18981988
D20,33.1075432
D21,NaN
D22,NaN
D23,NaN
D24,NaN
E01,25.63481324
E02,32.77869538
E03,23.25269765
E04,31.47350345
E05,23.14535151
E06,31.5654364
E07,23.35212909
E08,31.08477425
E09,24.45777645
E10,31.25257478
E11,24.10163332
E12,31.10073221
E13,24.05652904
E14,32.41333353
E15,23.14358804
E16,32.40207098
E17,23.50501443
E18,35.93338689
E19,23.88540614
E20,35.02261761
E21,NaN
E22,NaN
E23,NaN
E24,NaN
F01,25.77161125
F02,32.97104477
F03,23.32811405
F04,31.66721614
F05,23.25223703
F06,32.23127601
F07,23.60044445
F08,31.12395246
F09,24.2369253
F10,31.16873423
F11,24.34469892
F12,30.81747148
F13,24.09831885
F14,31.88577696
F15,23.35464787
F16,32.64081141
F17,23.80308111
F18,34.68967468
F19,23.97922697
F20,36.02998503
F21,NaN
F22,NaN
F23,NaN
F24,NaN
G01,NaN
G02,NaN
G03,NaN
G04,NaN
G05,NaN
G06,NaN
G07,NaN
G08,NaN
G09,NaN
G10,NaN
G11,NaN
G12,NaN
G13,NaN
G14,NaN
G15,NaN
G16,NaN
G17,NaN
G18,NaN
G19,NaN
G20,NaN
G21,NaN
G22,NaN
G23,NaN
G24,NaN
H01,NaN
H02,NaN
H03,NaN
H04,NaN
H05,NaN
H06,NaN
H07,NaN
H08,NaN
H09,NaN
H10,NaN
H11,NaN
H12,NaN
H13,NaN
H14,NaN
H15,NaN
H16,NaN
H17,NaN
H18,NaN
H19,NaN
H20,NaN
H21,NaN
H22,NaN
H23,NaN
H24,NaN
I01,NaN
I02,NaN
I03,NaN
I04,NaN
I05,NaN
I06,NaN
I07,NaN
I08,NaN
I09,NaN
I10,NaN
I11,NaN
I12,NaN
I13,NaN
I14,NaN
I15,NaN
I16,NaN
I17,NaN
I18,NaN
I19,NaN
I20,NaN
I21,NaN
I22,NaN
I23,NaN
I24,NaN
J01,NaN
J02,NaN
J03,NaN
J04,NaN
J05,NaN
J06,NaN
J07,NaN
J08,NaN
J09,NaN
J10,NaN
J11,NaN
J12,NaN
J13,NaN
J14,NaN
J15,NaN
J16,NaN
J17,NaN
J18,NaN
J19,NaN
J20,NaN
J21,NaN
J22,NaN
J23,NaN
J24,NaN
K01,NaN
K02,NaN
K03,NaN
K04,NaN
K05,NaN
K06,NaN
K07,NaN
K08,NaN
K09,NaN
K10,NaN
K11,NaN
K12,NaN
K13,NaN
K14,NaN
K15,NaN
K16,NaN
K17,NaN
K18,NaN
K19,NaN
