Well,Fluor,Cq
A01,SYBR,33.20718733
A02,SYBR,NaN
A03,SYBR,34.13820566
A04,SYBR,NaN
A05,SYBR,34.38824794
A06,SYBR,NaN
A07,SYBR,36.71188829
A08,SYBR,NaN
A09,SYBR,34.22872812
A10,SYBR,NaN
A11,SYBR,34.69694452
A12,SYBR,NaN
A13,SYBR,32.68141202
A14,SYBR,NaN
A15,SYBR,33.94973388
A16,SYBR,NaN
A17,SYBR,35.15181419
A18,SYBR,NaN
A19,SYBR,39.2431755
A20,SYBR,NaN
A21,SYBR,36.44994199
A22,SYBR,NaN
A23,SYBR,39.08337166
A24,SYBR,NaN
B01,SYBR,38.27095447
B02,SYBR,NaN
B03,SYBR,35.33350667
B04,SYBR,NaN
B05,SYBR,35.65800011
B06,SYBR,NaN
B07,SYBR,38.41776565
B08,SYBR,NaN
B09,SYBR,36.57322139
B10,SYBR,NaN
B11,SYBR,38.42512701
B12,SYBR,NaN
B13,SYBR,34.84701477
B14,SYBR,NaN
B15,SYBR,NaN
B16,SYBR,NaN
B17,SYBR,39.01403062
B18,SYBR,NaN
B19,SYBR,36.49561391
B20,SYBR,NaN
B21,SYBR,NaN
B22,SYBR,NaN
B23,SYBR,37.15753546
B24,SYBR,NaN
C01,SYBR,NaN
C02,SYBR,NaN
C03,SYBR,NaN
C04,SYBR,NaN
C05,SYBR,NaN
C06,SYBR,NaN
C07,SYBR,38.75570137
C08,SYBR,NaN
C09,SYBR,NaN
C10,SYBR,NaN
C11,SYBR,NaN
C12,SYBR,NaN
C13,SYBR,NaN
C14,SYBR,NaN
C15,SYBR,NaN
C16,SYBR,NaN
C17,SYBR,NaN
C18,SYBR,NaN
C19,SYBR,37.23469522
C20,SYBR,NaN
C21,SYBR,NaN
C22,SYBR,NaN
C23,SYBR,NaN
C24,SYBR,NaN
D01,SYBR,NaN
D02,SYBR,NaN
D03,SYBR,NaN
D04,SYBR,NaN
D05,SYBR,NaN
D06,SYBR,NaN
D07,SYBR,40.09466358
D08,SYBR,NaN
D09,SYBR,37.12056213
D10,SYBR,NaN
D11,SYBR,38.17590562
