Well,Cq
A01,18.71913753
A02,27.24741887
A03,17.63996453
A04,26.17115795
A05,24.39967888
A06,29.7223009
A07,26.02495988
A08,30.41631092
A09,25.2397744
A10,30.42556671
A11,25.73561551
A12,31.05941119
A13,17.22184119
A14,27.38120805
A15,16.61785506
A16,27.23933674
A17,19.42916979
A18,28.76437297
A19,23.08969675
A20,23.03757607
A21,22.93719758
A22,23.054965
A23,23.2542042
A24,23.40296897
B01,24.71586149
B02,28.22744599
B03,24.53488631
B04,26.34689908
B05,25.09390559
B06,26.35781363
B07,27.30975396
B08,31.62333028
B09,27.26408186
B10,31.17473675
B11,28.38486706
B12,34.28110583
B13,NaN
B14,NaN
B15,NaN
B16,NaN
B17,NaN
B18,NaN
B19,NaN
B20,NaN
B21,NaN
B22,NaN
B23,NaN
B24,NaN
C01,21.7906205
C02,34.87617507
C03,19.97523074
C04,32.99134406
C05,20.02568141
C06,33.14229941
C07,22.74856119
C08,40.17150183
C09,20.63572878
C10,NaN
C11,20.20669689
C12,36.29737603
C13,20.36035917
C14,34.48953593
C15,20.01287229
C16,36.19968576
C17,20.05234188
C18,32.97986309
C19,22.77859188
C20,35.35968159
C21,21.479783
C22,30.1257932
C23,21.19629251
C24,29.78640755
D01,21.00443666
D02,34.58124041
D03,20.21847791
D04,32.44363322
D05,20.03986638
D06,32.09480127
D07,21.36760922
D08,35.24627237
D09,20.26608106
D10,36.53366493
D11,19.961028
D12,37.3577212
D13,NaN
D14,NaN
D15,NaN
D16,NaN
D17,NaN
D18,NaN
D19,NaN
D20,NaN
D21,NaN
D22,NaN
D23,NaN
D24,NaN
E01,NaN
E02,NaN
E03,NaN
E04,NaN
E05,NaN
E06,NaN
E07,NaN
E08,NaN
E09,NaN
E10,NaN
E11,NaN
E12,NaN
E13,NaN
E14,NaN
E15,NaN
E16,NaN
E17,NaN
E18,NaN
E19,NaN
E20,NaN
E21,NaN
E22,NaN
E23,NaN
E24,NaN
F01,NaN
F02,NaN
F03,NaN
F04,NaN
F05,NaN
F06,NaN
F07,NaN
F08,NaN
F09,NaN
F10,NaN
F11,NaN
F12,NaN
F13,NaN
F14,NaN
F15,NaN
F16,NaN
F17,NaN
F18,NaN
F19,NaN
F20,NaN
F21,NaN
F22,NaN
F23,NaN
F24,NaN
G01,NaN
G02,NaN
G03,NaN
G04,NaN
G05,NaN
G06,NaN
G07,NaN
G08,NaN
G09,NaN
G10,NaN
G11,NaN
G12,NaN
G13,NaN
G14,NaN
G15,NaN
G16,NaN
G17,NaN
G18,NaN
G19,NaN
G20,NaN
G21,NaN
G22,NaN
G23,NaN
G24,NaN
H01,NaN
H02,NaN
H03,NaN
H04,NaN
H05,NaN
H06,NaN
H07,NaN
H08,NaN
H09,NaN
H10,NaN
H11,NaN
H12,NaN
H13,NaN
H14,NaN
H15,NaN
H16,NaN
H17,NaN
H18,NaN
H19,NaN
H20,NaN
H21,NaN
H22,NaN
H23,NaN
H24,NaN
I01,NaN
I02,NaN
I03,NaN
I04,NaN
I05,NaN
I06,NaN
I07,NaN
I08,NaN
I09,NaN
I10,NaN
I11,NaN
I12,NaN
I13,NaN
I14,NaN
I15,NaN
I16,NaN
I17,NaN
I18,NaN
I19,NaN
I20,NaN
I21,NaN
I22,NaN
I23,NaN
I24,NaN
J01,NaN
J02,NaN
J03,NaN
J04,NaN
J05,NaN
J06,NaN
J07,NaN
J08,NaN
J09,NaN
J10,NaN
J11,NaN
J12,NaN
J13,NaN
J14,NaN
J15,NaN
J16,NaN
J17,NaN
J18,NaN
J19,NaN
J20,NaN
J21,NaN
J22,NaN
J23,NaN
J24,NaN
K01,NaN
K02,NaN
K03,NaN
K04,NaN
K05,NaN
K06,NaN
K07,NaN
K08,NaN
K09,NaN
K10,NaN
K11,NaN
K12,NaN
K13,NaN
K14,NaN
K15,NaN
K16,NaN
K17,NaN
K18,NaN
K19,NaN
K20,NaN
K21,NaN
K22,NaN
K23,NaN
K24,NaN
L01,NaN
L02,NaN
L03,NaN
L04,NaN
L05,NaN
L06,NaN
L07,NaN
