Well,Fluor,Cq,Cq Mean
A01,FAM,28.37545636,28.37545636
A02,FAM,30.28359734,30.28359734
A03,FAM,27.57550967,27.57550967
A04,FAM,30.00325,30.00325
A05,FAM,32.08216036,32.08216036
A06,FAM,32.1268347,32.1268347
B01,FAM,28.15083134,28.15083134
B02,FAM,30.24061049,30.24061049
B03,FAM,27.58767424,27.58767424
B04,FAM,29.66187612,29.66187612
B05,FAM,31.35195194,31.35195194
B06,FAM,31.69449708,31.69449708
C01,FAM,28.16833956,28.16833956
C02,FAM,30.22177695,30.22177695
C03,FAM,27.3643701,27.3643701
C04,FAM,29.73071749,29.73071749
C05,FAM,31.43592699,31.43592699
C06,FAM,31.39754754,31.39754754
A01,HEX,24.85376268,24.85376268
A02,HEX,24.69517487,24.69517487
A03,HEX,24.54937643,24.54937643
A04,HEX,25.1589274,25.1589274
A05,HEX,24.62149457,24.62149457
A06,HEX,25.17112458,25.17112458
B01,HEX,25.04380552,25.04380552
B02,HEX,24.96244223,24.96244223
B03,HEX,24.30642553,24.30642553
B04,HEX,25.17511387,25.17511387
B05,HEX,24.62492179,24.62492179
B06,HEX,25.13935751,25.13935751
C01,HEX,24.91174406,24.91174406
C02,HEX,24.56568347,24.56568347
C03,HEX,24.19704839,24.19704839
C04,HEX,25.00206251,25.00206251
C05,HEX,24.2705985,24.2705985
C06,HEX,25.06363676,25.06363676
