Well,Fluor,Cq
A01,FAM,28.35009311
A02,FAM,NaN
A03,FAM,29.03687519
A04,FAM,NaN
A05,FAM,27.98108179
A06,FAM,NaN
A07,FAM,29.46939079
A08,FAM,NaN
A09,FAM,28.26759669
A10,FAM,NaN
A11,FAM,29.94698108
A12,FAM,NaN
A13,FAM,27.88775643
A14,FAM,NaN
A15,FAM,30.97944959
A16,FAM,NaN
A17,FAM,28.15233308
A18,FAM,NaN
A19,FAM,29.89643152
A20,FAM,NaN
A21,FAM,NaN
A22,FAM,NaN
A23,FAM,NaN
A24,FAM,NaN
B01,FAM,28.16591372
B02,FAM,NaN
B03,FAM,28.87500041
B04,FAM,NaN
B05,FAM,28.00908577
B06,FAM,NaN
B07,FAM,29.37032601
B08,FAM,NaN
B09,FAM,28.08060673
B10,FAM,NaN
B11,FAM,29.65390396
B12,FAM,NaN
B13,FAM,27.74164222
B14,FAM,NaN
B15,FAM,30.64111619
B16,FAM,NaN
B17,FAM,28.06911536
B18,FAM,NaN
B19,FAM,29.87411332
B20,FAM,NaN
B21,FAM,NaN
B22,FAM,NaN
B23,FAM,NaN
B24,FAM,NaN
C01,FAM,28.18462858
C02,FAM,NaN
C03,FAM,29.07765481
C04,FAM,NaN
C05,FAM,28.0419412
C06,FAM,NaN
C07,FAM,29.16580647
C08,FAM,NaN
C09,FAM,28.00987744
C10,FAM,NaN
C11,FAM,29.47181431
C12,FAM,NaN
C13,FAM,27.64537031
C14,FAM,NaN
C15,FAM,30.44638974
C16,FAM,NaN
C17,FAM,27.82079756
C18,FAM,NaN
C19,FAM,29.72650885
C20,FAM,NaN
C21,FAM,NaN
C22,FAM,NaN
C23,FAM,NaN
C24,FAM,NaN
D01,FAM,30.65748268
D02,FAM,NaN
D03,FAM,29.32867412
D04,FAM,NaN
D05,FAM,29.82909718
D06,FAM,NaN
D07,FAM,29.40061689
D08,FAM,NaN
D09,FAM,30.28066184
D10,FAM,NaN
D11,FAM,29.30356672
D12,FAM,NaN
D13,FAM,29.85243443
D14,FAM,NaN
D15,FAM,30.20866496
D16,FAM,NaN
D17,FAM,30.12315983
D18,FAM,NaN
D19,FAM,29.58572238
D20,FAM,NaN
D21,FAM,NaN
D22,FAM,NaN
D23,FAM,NaN
D24,FAM,NaN
E01,FAM,30.46129069
E02,FAM,NaN
E03,FAM,29.3322935
E04,FAM,NaN
E05,FAM,29.96004978
E06,FAM,NaN
E07,FAM,29.07485469
E08,FAM,NaN
E09,FAM,30.26693692
E10,FAM,NaN
E11,FAM,29.29188942
E12,FAM,NaN
E13,FAM,29.90675166
E14,FAM,NaN
E15,FAM,30.1456112
E16,FAM,NaN
E17,FAM,30.26405254
E18,FAM,NaN
E19,FAM,29.54181955
E20,FAM,NaN
E21,FAM,NaN
E22,FAM,NaN
E23,FAM,NaN
E24,FAM,NaN
F01,FAM,30.45095246
F02,FAM,NaN
F03,FAM,29.19618843
F04,FAM,NaN
F05,FAM,29.83913356
F06,FAM,NaN
F07,FAM,29.06316443
F08,FAM,NaN
F09,FAM,30.04023267
F10,FAM,NaN
F11,FAM,29.20964571
F12,FAM,NaN
F13,FAM,29.74878535
F14,FAM,NaN
F15,FAM,30.04946154
F16,FAM,NaN
F17,FAM,30.01189815
F18,FAM,NaN
F19,FAM,29.53172049
F20,FAM,NaN
F21,FAM,NaN
F22,FAM,NaN
F23,FAM,NaN
F24,FAM,NaN
G01,FAM,28.16001749
G02,FAM,NaN
G03,FAM,28.65997829
G04,FAM,NaN
G05,FAM,27.95560464
G06,FAM,NaN
G07,FAM,28.56489319
G08,FAM,NaN
G09,FAM,28.00034687
G10,FAM,NaN
G11,FAM,29.09390359
G12,FAM,NaN
G13,FAM,27.5698746
G14,FAM,NaN
G15,FAM,29.97671538
G16,FAM,NaN
G17,FAM,28.03170724
G18,FAM,NaN
G19,FAM,29.1385091
G20,FAM,NaN
G21,FAM,NaN
G22,FAM,NaN
G23,FAM,NaN
G24,FAM,NaN
H01,FAM,28.07140723
H02,FAM,NaN
H03,FAM,28.48637842
H04,FAM,NaN
H05,FAM,27.8997682
H06,FAM,NaN
H07,FAM,28.45991655
H08,FAM,NaN
H09,FAM,27.88438561
H10,FAM,NaN
H11,FAM,29.05413377
H12,FAM,NaN
H13,FAM,27.5475315
H14,FAM,NaN
H15,FAM,29.92472899
H16,FAM,NaN
H17,FAM,27.96928479
H18,FAM,NaN
H19,FAM,29.11900356
H20,FAM,NaN
H21,FAM,NaN
H22,FAM,NaN
H23,FAM,NaN
H24,FAM,NaN
I01,FAM,27.88064139
I02,FAM,NaN
I03,FAM,28.63345137
I04,FAM,NaN
I05,FAM,28.01652511
I06,FAM,NaN
I07,FAM,28.46586816
I08,FAM,NaN
I09,FAM,28.0869968
I10,FAM,NaN
I11,FAM,29.05246675
I12,FAM,NaN
I13,FAM,27.36036564
I14,FAM,NaN
I15,FAM,29.66186231
I16,FAM,NaN
I17,FAM,27.89119426
I18,FAM,NaN
I19,FAM,28.94106435
I20,FAM,NaN
I21,FAM,NaN
I22,FAM,NaN
I23,FAM,NaN
I24,FAM,NaN
J01,FAM,29.32511871
J02,FAM,NaN
J03,FAM,29.55796171
J04,FAM,NaN
J05,FAM,29.06937467
J06,FAM,NaN
J07,FAM,29.36944586
J08,FAM,NaN
J09,FAM,29.16154757
J10,FAM,NaN
J11,FAM,29.84831795
J12,FAM,NaN
J13,FAM,28.8856499
J14,FAM,NaN
J15,FAM,30.42077903
J16,FAM,NaN
J17,FAM,29.20381662
J18,FAM,NaN
J19,FAM,30.00536703
J20,FAM,NaN
J21,FAM,NaN
J22,FAM,NaN
J23,FAM,NaN
J24,FAM,NaN
K01,FAM,29.30289893
K02,FAM,NaN
K03,FAM,29.67411295
K04,FAM,NaN
K05,FAM,28.9158318
K06,FAM,NaN
K07,FAM,29.44353726
K08,FAM,NaN
K09,FAM,29.23859089
K10,FAM,NaN
K11,FAM,29.79715768
K12,FAM,NaN
K13,FAM,28.98517796
K14,FAM,NaN
K15,FAM,30.44671426
K16,FAM,NaN
K17,FAM,29.12964334
K18,FAM,NaN
