Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,,Unkn,,,28.11683722,28.11683722,0,NaN,NaN,NaN,0,60,
A02,FAM,,Unkn,,,28.39867551,28.39867551,0,NaN,NaN,NaN,0,60,
A03,FAM,,Unkn,,,28.66302809,28.66302809,0,NaN,NaN,NaN,0,60,
A04,FAM,,Unkn,,,28.85145498,28.85145498,0,NaN,NaN,NaN,0,60,
A05,FAM,,Unkn,,,28.08573051,28.08573051,0,NaN,NaN,NaN,0,60,
A06,FAM,,Unkn,,,28.02770609,28.02770609,0,NaN,NaN,NaN,0,60,
A07,FAM,,Unkn,,,30.7477171,30.7477171,0,NaN,NaN,NaN,0,60,
A08,FAM,,Unkn,,,30.8765113,30.8765113,0,NaN,NaN,NaN,0,60,
A09,FAM,,Unkn,,,30.73820782,30.73820782,0,NaN,NaN,NaN,0,60,
A10,FAM,,Unkn,,,32.32394189,32.32394189,0,NaN,NaN,NaN,0,60,
A11,FAM,,Unkn,,,29.5837199,29.5837199,0,NaN,NaN,NaN,0,60,
A12,FAM,,Unkn,,,29.17586247,29.17586247,0,NaN,NaN,NaN,0,60,
A13,FAM,,Unkn,,,28.51157649,28.51157649,0,NaN,NaN,NaN,0,60,
A14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
A15,FAM,,Unkn,,,28.03817575,28.03817575,0,NaN,NaN,NaN,0,60,
A16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
A17,FAM,,Unkn,,,28.58961338,28.58961338,0,NaN,NaN,NaN,0,60,
A18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
A19,FAM,,Unkn,,,29.26449051,29.26449051,0,NaN,NaN,NaN,0,60,
A20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
A21,FAM,,Unkn,,,34.27734345,34.27734345,0,NaN,NaN,NaN,0,60,
A22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
A23,FAM,,Unkn,,,29.71467235,29.71467235,0,NaN,NaN,NaN,0,60,
A24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
B01,FAM,,Unkn,,,27.8862832,27.8862832,0,NaN,NaN,NaN,0,60,
B02,FAM,,Unkn,,,28.04109473,28.04109473,0,NaN,NaN,NaN,0,60,
B03,FAM,,Unkn,,,28.32790928,28.32790928,0,NaN,NaN,NaN,0,60,
B04,FAM,,Unkn,,,28.58591153,28.58591153,0,NaN,NaN,NaN,0,60,
B05,FAM,,Unkn,,,27.65598375,27.65598375,0,NaN,NaN,NaN,0,60,
B06,FAM,,Unkn,,,27.96490374,27.96490374,0,NaN,NaN,NaN,0,60,
B07,FAM,,Unkn,,,30.66900539,30.66900539,0,NaN,NaN,NaN,0,60,
B08,FAM,,Unkn,,,30.27529208,30.27529208,0,NaN,NaN,NaN,0,60,
B09,FAM,,Unkn,,,30.47855005,30.47855005,0,NaN,NaN,NaN,0,60,
B10,FAM,,Unkn,,,32.09490611,32.09490611,0,NaN,NaN,NaN,0,60,
