Well,Cq 
A01,27.95272227
A02,0
A03,27.68876159
A04,0
A05,27.98357608
A06,0
A07,31.33252462
A08,0
A09,27.71734939
A10,0
A11,12.34686052
A12,0
A13,33.03649201
A14,0
A15,27.9269855
A16,0
A17,26.99239724
A18,0
A19,25.43413754
A20,0
A21,23.64930033
A22,0
A23,22.39846236
A24,0
B01,27.44693174
B02,0
B03,26.84767287
B04,0
B05,27.12666037
B06,0
B07,30.82179855
B08,0
B09,27.37170127
B10,0
B11,12.40645046
B12,0
B13,31.76386057
B14,0
B15,27.10433296
B16,0
B17,26.80295453
B18,0
B19,25.36349253
B20,0
B21,24.94161038
B22,0
B23,23.86874998
B24,0
C01,26.95820435
C02,0
C03,26.53853213
C04,0
C05,27.21613294
C06,0
C07,29.69078082
C08,0
C09,27.03313948
C10,0
C11,11.36015982
C12,0
C13,32.66891537
C14,0
C15,26.63463478
C16,0
C17,26.98370723
C18,0
C19,25.17603486
C20,0
C21,24.90219547
C22,0
C23,23.80277034
C24,0
D01,23.59780083
D02,0
D03,23.65478577
D04,39.60699033
D05,24.64958012
D06,0
D07,29.82177525
D08,39.35496408
D09,25.18223254
D10,39.29388192
D11,12.32947365
D12,0
D13,26.42298695
D14,37.96164886
D15,23.274494
D16,35.08928602
D17,24.36914962
D18,37.64902693
D19,23.03289002
D20,39.20924971
D21,22.95428131
D22,0
D23,23.02919994
D24,0
E01,23.61754188
E02,34.96837229
E03,23.45931722
E04,40.68412174
E05,24.41185661
E06,0
E07,29.01799377
E08,37.29098655
E09,24.98747184
E10,0
E11,15.95879027
E12,0
E13,26.35958783
E14,0
E15,23.21853185
E16,40.45589755
E17,24.11862778
E18,35.37468458
E19,22.91659567
E20,37.49508548
E21,22.84241312
E22,0
E23,23.24526847
E24,37.30523593
F01,22.6108818
F02,37.52974965
F03,23.00394117
F04,38.11250372
F05,23.65503342
F06,0
F07,29.18492559
F08,37.51162901
F09,24.38371665
F10,38.68834112
F11,9.733870595
F12,39.29562663
F13,25.5684808
F14,37.05050336
F15,22.63035306
F16,37.48355332
F17,24.24162586
F18,35.16504908
F19,23.19889051
F20,38.03634232
F21,22.32354381
F22,0
F23,22.23615917
F24,0
G01,24.28733666
G02,23.98981397
G03,22.9704069
G04,22.62314385
G05,33.02261425
G06,0
G07,0
G08,0
G09,0
G10,0
G11,0
G12,0
G13,0
G14,0
G15,0
G16,0
G17,0
G18,0
G19,0
G20,0
G21,0
G22,0
G23,0
G24,0
H01,24.95501448
H02,24.59045848
H03,23.21050395
H04,23.24359062
H05,0
H06,0
H07,32.12413513
H08,0
H09,0
H10,0
H11,0
H12,0
H13,0
H14,0
H15,0
H16,0
H17,0
H18,0
H19,0
H20,0
H21,0
H22,0
H23,0
H24,0
I01,24.19821633
I02,24.65230903
I03,22.69030721
I04,23.19347465
I05,0
I06,0
I07,34.19361797
I08,0
I09,0
I10,0
I11,0
I12,0
I13,0
I14,0
I15,0
I16,0
I17,0
I18,0
I19,0
I20,0
I21,0
I22,0
I23,0
I24,0
J01,22.34707435
J02,23.33362195
J03,22.39910649
J04,23.25321822
J05,36.11495071
J06,0
J07,37.06127055
J08,40.59621023
J09,0
J10,0
J11,0
J12,0
J13,0
J14,0
J15,0
J16,0
J17,0
J18,0
J19,0
J20,0
J21,0
J22,0
J23,0
J24,0
K01,22.75927075
K02,23.15876225
K03,23.01316667
K04,23.33075185
K05,36.1945572
K06,40.13406714
K07,35.83971273
K08,39.94710058
K09,0
K10,0
K11,0
K12,0
K13,0
K14,0
K15,0
K16,0
K17,0
K18,0
K19,0
K20,0
K21,0
K22,0
K23,0
K24,0
L01,22.6517179
L02,23.33542247
L03,23.25844428
L04,23.79855247
L05,0
L06,0
L07,0
L08,37.31630195
L09,0
L10,0
L11,0
L12,0
L13,0
L14,0
L15,0
L16,0
L17,0
L18,0
L19,0
L20,0
L21,0
L22,0
L23,0
L24,0
M01,0
M02,0
M03,0
M04,0
M05,0
M06,0
M07,0
M08,0
M09,0
M10,0
M11,0
M12,0
M13,0
M14,0
M15,0
M16,0
M17,0
M18,0
M19,0
M20,0
M21,0
M22,0
M23,0
M24,0
N01,0
N02,0
N03,0
N04,0
N05,0
N06,0
N07,0
N08,0
N09,0
N10,0
N11,0
N12,0
N13,0
N14,0
N15,0
N16,0
N17,0
N18,0
N19,0
N20,0
N21,0
N22,0
N23,0
N24,0
O01,0
O02,0
O03,0
O04,0
O05,0
O06,0
O07,0
O08,0
O09,0
O10,0
O11,0
O12,0
O13,0
O14,0
O15,0
O16,0
O17,0
O18,0
O19,0
O20,0
O21,0
O22,0
O23,0
O24,0
P01,0
P02,0
P03,0
P04,0
P05,0
P06,0
P07,0
P08,0
P09,0
P10,0
P11,0
P12,0
P13,0
P14,0
P15,0
P16,0
P17,0
P18,0
P19,0
P20,0
P21,0
P22,0
P23,0
P24,0
